Partida,Turno,Agente,Ação Executada,Índice Escolhido
3,3,Rule-Based (P1),SELECIONAR_CARTA,[0]
3,4,Random (P2),NUMBER,[2]
3,5,Random (P2),SELECIONAR_CARTA,[1]
3,6,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
3,7,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
3,8,Rule-Based (P1),PASSAR_TURNO,[0]
3,9,Random (P2),LIGAR_ENERGIA (Carta ID: Mão),[7]
3,10,Random (P2),PASSAR_TURNO,[5]
3,11,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
3,12,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
3,13,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
3,14,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
3,15,Rule-Based (P1),SELECIONAR_CARTA,[0]
3,16,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
3,17,Rule-Based (P1),SELECIONAR_CARTA,[0]
3,18,Random (P2),SELECIONAR_CARTA,[0]
3,19,Random (P2),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[3]
3,20,Random (P2),SELECIONAR_CARTA,[1]
3,21,Random (P2),LIGAR_ENERGIA (Carta ID: Mão),[1]
3,22,Random (P2),ATACAR (Ataque ID: 1042),[5]
3,23,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
3,24,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
3,25,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
3,26,Rule-Based (P1),SELECIONAR_CARTA,[0]
4,1,Rule-Based (P1),YES,[0]
4,2,Random (P2),SELECIONAR_CARTA,[0]
4,3,Rule-Based (P1),SELECIONAR_CARTA,[0]
4,4,Random (P2),NUMBER,[0]
4,5,Rule-Based (P1),SELECIONAR_CARTA,[0]
4,6,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
4,7,Rule-Based (P1),PASSAR_TURNO,[0]
4,8,Random (P2),LIGAR_ENERGIA (Carta ID: Mão),[2]
4,9,Random (P2),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[1]
4,10,Random (P2),SELECIONAR_CARTA,[0]
4,11,Random (P2),SELECIONAR_CARTA,[0]
4,12,Random (P2),PASSAR_TURNO,[3]
4,13,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
4,14,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
4,15,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
4,16,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
4,17,Rule-Based (P1),SELECIONAR_CARTA,[0]
4,18,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
4,19,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
4,20,Rule-Based (P1),SELECIONAR_CARTA,[0]
5,1,Rule-Based (P1),YES,[0]
5,2,Random (P2),SELECIONAR_CARTA,[0]
5,3,Rule-Based (P1),SELECIONAR_CARTA,[0]
5,4,Random (P2),NUMBER,[0]
5,5,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
5,6,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
5,7,Rule-Based (P1),PASSAR_TURNO,[0]
5,8,Random (P2),LIGAR_ENERGIA (Carta ID: Mão),[2]
5,9,Random (P2),ATACAR (Ataque ID: 1044),[3]
5,10,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
5,11,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
5,12,Rule-Based (P1),SELECIONAR_CARTA,[0]
5,13,Rule-Based (P1),SELECIONAR_CARTA,[0]
5,14,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
5,15,Rule-Based (P1),SELECIONAR_CARTA,[0]
5,16,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
5,17,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
5,18,Rule-Based (P1),SELECIONAR_CARTA,[0]
